Frequency - p,Frac. Tests  (One-Time Pooling),Optimal Batch Size (One-Time Pooling), Batch Size Used (One-Time Pooling),Frac. Tests (Repeated Pooling),Optimal Batch Size (Repeated Pooling),Batch Size Used  (Repeated Pooling),Repeated Pooling Theory,Entropy
0.115,0.63653,3.5549,4,0.63906,5.6737,4,0.64491,0.51482
0.116,0.64018,3.5431,4,0.63764,5.6217,4,0.64779,0.51775
0.117,0.64266,3.5315,4,0.64289,5.5706,4,0.65064,0.52068
0.118,0.6448,3.52,4,0.64527,5.5203,4,0.65347,0.52358
0.119,0.64959,3.5087,4,0.64684,5.4709,4,0.65628,0.52648
0.12,0.65297,3.4976,3,0.65213,5.4223,4,0.65905,0.52936
0.121,0.65331,3.4866,3,0.65427,5.3745,4,0.66181,0.53223
0.122,0.65501,3.4757,3,0.65811,5.3274,4,0.66454,0.53508
0.123,0.65772,3.465,3,0.66056,5.2812,4,0.66725,0.53792
0.124,0.65912,3.4545,3,0.66338,5.2357,4,0.66993,0.54075
0.125,0.66135,3.4441,3,0.666,5.1909,4,0.67259,0.54356
0.126,0.66312,3.4338,3,0.66487,5.1468,4,0.67523,0.54637
0.127,0.66723,3.4237,3,0.66697,5.1034,4,0.67784,0.54915
0.128,0.67098,3.4137,3,0.66932,5.0607,4,0.68043,0.55193
0.129,0.66977,3.4038,3,0.67232,5.0187,4,0.683,0.55469
0.13,0.67775,3.3941,3,0.67846,4.9773,4,0.68554,0.55744
0.131,0.67924,3.3845,3,0.68229,4.9365,4,0.68806,0.56017
0.132,0.68018,3.375,3,0.68094,4.8964,4,0.69056,0.5629
0.133,0.68353,3.3656,3,0.69028,4.8568,4,0.69303,0.56561
0.134,0.68243,3.3564,3,0.68804,4.8179,4,0.69549,0.56831
0.135,0.68663,3.3473,3,0.6895,4.7795,4,0.69792,0.57099
0.136,0.68663,3.3382,3,0.69468,4.7417,4,0.70032,0.57367
0.137,0.69167,3.3294,3,0.69302,4.7044,4,0.70271,0.57633
0.138,0.68924,3.3206,3,0.69743,4.6677,4,0.70507,0.57898
0.139,0.69566,3.3119,3,0.69887,4.6315,4,0.70741,0.58161
0.14,0.69213,3.3033,3,0.69884,4.5958,4,0.70973,0.58424
0.141,0.70195,3.2949,3,0.70576,4.5606,4,0.71203,0.58685
0.142,0.69975,3.2865,3,0.70796,4.5259,4,0.71431,0.58945
0.143,0.70128,3.2783,3,0.71547,4.4917,4,0.71656,0.59204
0.144,0.70494,3.2701,3,0.71316,4.458,4,0.7188,0.59462
0.145,0.70956,3.2621,3,0.71624,4.4247,4,0.72101,0.59719
0.146,0.70922,3.2541,3,0.7163,4.3919,4,0.7232,0.59974
0.147,0.7126,3.2463,3,0.72526,4.3595,4,0.72537,0.60228
0.148,0.71602,3.2385,3,0.72411,4.3276,4,0.72752,0.60481
0.149,0.71366,3.2309,3,0.72973,4.2961,4,0.72965,0.60733
0.15,0.72103,3.2233,3,0.7263,4.265,4,0.73176,0.60984
0.151,0.71834,3.2158,3,0.72856,4.2344,4,0.73384,0.61234
0.152,0.72091,3.2084,3,0.73194,4.2041,4,0.73591,0.61482
0.153,0.72413,3.2011,3,0.73305,4.1742,4,0.73795,0.6173
0.154,0.72644,3.1939,3,0.74094,4.1447,4,0.73998,0.61976
0.155,0.7312,3.1868,3,0.73762,4.1156,4,0.74198,0.62221
0.156,0.7307,3.1797,3,0.73849,4.0869,4,0.74397,0.62465
0.157,0.7354,3.1728,3,0.74651,4.0585,4,0.74593,0.62708
0.158,0.73544,3.1659,3,0.75061,4.0305,4,0.74788,0.6295
0.159,0.73827,3.1591,3,0.7532,4.0028,4,0.7498,0.63191
0.16,0.73968,3.1523,3,0.75438,3.9755,4,0.75171,0.63431
0.161,0.74293,3.1457,3,0.75796,3.9486,4,0.75359,0.6367
0.162,0.74602,3.1391,3,0.7554,3.9219,4,0.75546,0.63907
0.163,0.74674,3.1326,3,0.76198,3.8956,4,0.7573,0.64144
0.164,0.75057,3.1262,3,0.76801,3.8696,4,0.75913,0.64379
0.165,0.75152,3.1199,3,0.76287,3.8439,4,0.76093,0.64614
0.166,0.75323,3.1136,3,0.76871,3.8185,4,0.76272,0.64847
0.167,0.75601,3.1074,3,0.7669,3.7935,4,0.76449,0.6508
0.168,0.75672,3.1013,3,0.76881,3.7687,4,0.76623,0.65311
0.169,0.75974,3.0952,3,0.76951,3.7442,4,0.76796,0.65541
0.17,0.76166,3.0893,3,0.77813,3.72,4,0.76967,0.6577
0.171,0.76313,3.0833,3,0.78412,3.6961,4,0.77136,0.65999
0.172,0.76683,3.0775,3,0.77917,3.6725,4,0.77303,0.66226
0.173,0.7708,3.0717,3,0.78261,3.6491,4,0.77468,0.66452
0.174,0.76965,3.066,3,0.78318,3.626,4,0.77632,0.66677
0.175,0.77323,3.0603,3,0.78777,3.6032,4,0.77793,0.66902
0.176,0.77363,3.0547,3,0.79683,3.5806,4,0.77953,0.67125
0.177,0.77876,3.0492,3,0.79223,3.5583,4,0.7811,0.67347
0.178,0.77968,3.0438,3,0.80116,3.5362,4,0.78266,0.67568
0.179,0.77973,3.0384,3,0.79324,3.5144,4,0.7842,0.67788
0.18,0.78199,3.033,3,0.79757,3.4928,4,0.78572,0.68008
0.181,0.78133,3.0277,3,0.7998,3.4714,4,0.78722,0.68226
0.182,0.78607,3.0225,3,0.80209,3.4503,4,0.78871,0.68443
0.183,0.7857,3.0174,3,0.80668,3.4294,4,0.79017,0.6866
0.184,0.79019,3.0123,3,0.80716,3.4088,4,0.79162,0.68875
0.185,0.79103,3.0072,3,0.81317,3.3884,4,0.79305,0.69089
0.186,0.79466,3.0022,3,0.8069,3.3681,4,0.79446,0.69303
0.187,0.79717,2.9973,3,0.8135,3.3481,4,0.79585,0.69515
0.188,0.79882,2.9924,3,0.8119,3.3284,4,0.79722,0.69727
0.189,0.79772,2.9876,3,0.81875,3.3088,4,0.79858,0.69937
0.19,0.80207,2.9829,3,0.82,3.2894,4,0.79991,0.70147
0.191,0.80166,2.9782,3,0.82092,3.2702,4,0.80123,0.70356
0.192,0.80259,2.9735,3,0.82288,3.2513,4,0.80253,0.70564
0.193,0.80894,2.9689,3,0.8255,3.2325,4,0.80382,0.70771
0.194,0.80833,2.9644,3,0.82753,3.2139,4,0.80508,0.70976
0.195,0.81271,2.9599,3,0.83009,3.1955,4,0.80633,0.71181
0.196,0.81315,2.9554,3,0.83187,3.1773,4,0.80756,0.71386
0.197,0.81351,2.951,3,0.8343,3.1593,4,0.80877,0.71589
0.198,0.82113,2.9467,3,0.8399,3.1414,4,0.80997,0.71791
0.199,0.81624,2.9424,3,0.83496,3.1238,4,0.81114,0.71992
0.2,0.82057,2.9382,3,0.83904,3.1063,4,0.8123,0.72193
